date_valued,entry_id,scheme_id,net_asset_value,outstanding_number_of_units,nav_per_unit,sale_price_per_unit,repurchase_price_per_unit,scheme_name
08/07/2024,1720508520,4,"26,677,079,103.86","152,923,207.10",174.4476,174.4476,170.9586,Jikimu Fund
08/07/2024,1720508520,5,"1,142,698,940,823.97","2,788,275,730.06",409.8228,409.8228,409.8228,Liquid Fund
08/07/2024,1720508520,6,"672,233,765,285.15","5,726,941,339.75",117.3809,117.3809,117.3809,Bond Fund
05/07/2024,1720426860,1,"361,404,044,126.93","346,630,100.79","1,042.62","1,042.62","1,032.20",Umoja Fund
05/07/2024,1720426860,2,"15,354,568,483.19","16,850,146.54",911.2424,911.2424,893.0176,Wekeza Maisha Fund
05/07/2024,1720426860,3,"19,209,357,003.56","28,765,857.16",667.7832,667.7832,661.1054,Watoto Fund
05/07/2024,1720426860,4,"26,635,190,804.19","152,781,473.09",174.3352,174.3352,170.8485,Jikimu Fund
05/07/2024,1720426860,5,"1,136,551,863,512.12","2,775,604,483.46",409.479,409.479,409.479,Liquid Fund
05/07/2024,1720426860,6,"670,968,976,990.28","5,720,998,758.83",117.2818,117.2818,117.2818,Bond Fund
04/07/2024,1720165200,1,"361,280,245,076.72","346,561,607.07","1,042.47","1,042.47","1,032.05",Umoja Fund
04/07/2024,1720165200,2,"15,339,667,476.25","16,837,891.34",911.0207,911.0207,892.8003,Wekeza Maisha Fund
04/07/2024,1720165200,3,"19,116,231,192.89","28,633,425.08",667.6194,667.6194,660.9432,Watoto Fund
04/07/2024,1720165200,4,"26,585,517,331.71","152,529,228.96",174.2979,174.2979,170.8119,Jikimu Fund
04/07/2024,1720165200,5,"1,133,922,222,207.86","2,769,962,422.92",409.3638,409.3638,409.3638,Liquid Fund
04/07/2024,1720165200,6,"669,329,314,700.16","5,708,622,792.23",117.2488,117.2488,117.2488,Bond Fund
03/07/2024,1720080300,1,"360,834,230,082.88","346,483,831.98","1,041.42","1,041.42","1,031.00",Umoja Fund
03/07/2024,1720080300,2,"15,318,829,157.82","16,826,132.17",910.4189,910.4189,892.2105,Wekeza Maisha Fund
03/07/2024,1720080300,3,"19,066,899,082.27","28,584,178.38",667.0438,667.0438,660.3734,Watoto Fund
03/07/2024,1720080300,4,"26,490,836,536.43","152,063,113.55",174.2095,174.2095,170.7253,Jikimu Fund
03/07/2024,1720080300,5,"1,128,487,048,622.02","2,757,432,872.23",409.2528,409.2528,409.2528,Liquid Fund
03/07/2024,1720080300,6,"668,959,255,301.21","5,706,897,242.10",117.2194,117.2194,117.2194,Bond Fund
02/07/2024,1720009560,1,"360,723,518,911.35","346,418,666.45","1,041.29","1,041.29","1,030.88",Umoja Fund
02/07/2024,1720009560,2,"15,290,888,892.76","16,799,311.80",910.2092,910.2092,892.0051,Wekeza Maisha Fund
02/07/2024,1720009560,3,"19,035,416,939.40","28,543,600.81",666.8891,666.8891,660.2202,Watoto Fund
02/07/2024,1720009560,4,"26,456,447,581.58","151,893,015.29",174.1782,174.1782,170.6946,Jikimu Fund
02/07/2024,1720009560,5,"1,125,476,645,598.06","2,750,828,500.50",409.141,409.141,409.141,Liquid Fund
02/07/2024,1720009560,6,"667,266,161,362.41","5,693,933,911.89",117.189,117.189,117.189,Bond Fund
01/07/2024,1719904200,1,"360,818,771,675.85","346,289,907.37","1,041.96","1,041.96","1,031.54",Umoja Fund
01/07/2024,1719904200,2,"15,265,345,608.11","16,767,766.91",910.3982,910.3982,892.1903,Wekeza Maisha Fund
01/07/2024,1719904200,3,"18,959,965,021.08","28,418,896.63",667.1605,667.1605,660.4889,Watoto Fund
01/07/2024,1719904200,4,"26,398,438,200.84","151,520,389.35",174.2237,174.2237,170.7392,Jikimu Fund
01/07/2024,1719904200,5,"1,117,300,039,541.09","2,731,591,313.82",409.029,409.029,409.029,Liquid Fund
01/07/2024,1719904200,6,"665,366,738,137.13","5,679,193,363.73",117.1587,117.1587,117.1587,Bond Fund
28/06/2024,1719818400,1,"359,878,845,238.07","346,341,057.99","1,039.09","1,039.09","1,028.70",Umoja Fund
28/06/2024,1719818400,2,"15,217,524,123.34","16,744,283.50",908.8191,908.8191,890.6427,Wekeza Maisha Fund
28/06/2024,1719818400,3,"18,952,094,628.25","28,446,439.61",666.2378,666.2378,659.5755,Watoto Fund
28/06/2024,1719818400,4,"26,785,818,548.17","151,471,999.52",176.8368,176.8368,173.3,Jikimu Fund
28/06/2024,1719818400,5,"1,114,440,213,842.60","2,726,856,757.36",408.6904,408.6904,408.6904,Liquid Fund
28/06/2024,1719818400,6,"670,025,313,412.91","5,674,923,049.65",118.0677,118.0677,118.0677,Bond Fund
27/06/2024,1719558240,1,"359,420,064,631.99","346,244,079.50","1,038.05","1,038.05","1,027.67",Umoja Fund
27/06/2024,1719558240,2,"15,168,590,925.48","16,698,775.56",908.3655,908.3655,890.1981,Wekeza Maisha Fund
27/06/2024,1719558240,3,"18,913,207,572.15","28,409,932.20",665.7252,665.7252,659.0679,Watoto Fund
27/06/2024,1719558240,4,"26,651,672,585.17","150,777,079.63",176.7621,176.7621,173.2269,Jikimu Fund
27/06/2024,1719558240,5,"1,112,904,967,540.38","2,723,855,750.08",408.5771,408.5771,408.5771,Liquid Fund
27/06/2024,1719558240,6,"668,800,750,762.99","5,666,000,907.11",118.0375,118.0375,118.0375,Bond Fund
26/06/2024,1719478920,1,"358,880,628,957.83","346,304,840.62","1,036.31","1,036.31","1,025.95",Umoja Fund
26/06/2024,1719478920,2,"15,022,356,616.03","16,541,579.11",908.1573,908.1573,889.9942,Wekeza Maisha Fund
26/06/2024,1719478920,3,"18,892,080,550.07","28,384,796.92",665.5704,665.5704,658.9147,Watoto Fund
26/06/2024,1719478920,4,"26,638,421,610.06","150,728,776.61",176.7308,176.7308,173.1962,Jikimu Fund
26/06/2024,1719478920,5,"1,112,584,915,179.35","2,723,822,724.53",408.4645,408.4645,408.4645,Liquid Fund
26/06/2024,1719478920,6,"667,059,922,442.48","5,652,672,794.87",118.0079,118.0079,118.0079,Bond Fund
25/06/2024,1719391080,1,"358,461,328,153.68","346,255,698.58","1,035.25","1,035.25","1,024.90",Umoja Fund
25/06/2024,1719391080,2,"15,011,048,117.50","16,540,322.87",907.5426,907.5426,889.3918,Wekeza Maisha Fund
25/06/2024,1719391080,3,"18,857,940,794.23","28,358,402.94",664.986,664.986,658.3361,Watoto Fund
25/06/2024,1719391080,4,"26,623,533,406.24","150,736,674.52",176.6228,176.6228,173.0903,Jikimu Fund
25/06/2024,1719391080,5,"1,113,156,879,923.43","2,726,641,956.24",408.2519,408.2519,408.2519,Liquid Fund
25/06/2024,1719391080,6,"665,854,776,658.97","5,643,863,979.63",117.9785,117.9785,117.9785,Bond Fund
24/06/2024,1719302700,1,"358,276,835,959.15","346,120,162.15","1,035.12","1,035.12","1,024.77",Umoja Fund
24/06/2024,1719302700,2,"14,984,286,329.72","16,514,828.70",907.3231,907.3231,889.1767,Wekeza Maisha Fund
24/06/2024,1719302700,3,"18,819,692,305.16","28,307,479.03",664.8311,664.8311,658.1828,Watoto Fund
24/06/2024,1719302700,4,"26,583,400,410.93","150,534,992.40",176.5928,176.5928,173.061,Jikimu Fund
24/06/2024,1719302700,5,"1,108,787,601,854.04","2,716,647,033.49",408.1456,408.1456,408.1456,Liquid Fund
24/06/2024,1719302700,6,"663,291,990,368.50","5,638,473,158.98",117.6368,117.6368,117.6368,Bond Fund
21/06/2024,1719210120,1,"358,203,723,481.88","346,182,563.79","1,034.72","1,034.72","1,024.38",Umoja Fund
21/06/2024,1719210120,2,"14,967,181,082.48","16,507,442.81",906.6929,906.6929,888.559,Wekeza Maisha Fund
21/06/2024,1719210120,3,"18,852,114,234.87","28,370,912.58",664.4874,664.4874,657.8425,Watoto Fund
21/06/2024,1719210120,4,"26,527,234,064.29","150,295,127.19",176.501,176.501,172.9709,Jikimu Fund
21/06/2024,1719210120,5,"1,104,465,901,390.82","2,708,419,045.72",407.7899,407.7899,407.7899,Liquid Fund
21/06/2024,1719210120,6,"658,923,354,224.01","5,642,993,133.17",116.7684,116.7684,116.7684,Bond Fund
20/06/2024,1718954040,1,"358,311,355,752.92","346,326,862.61","1,034.60","1,034.60","1,024.26",Umoja Fund
20/06/2024,1718954040,2,"14,958,991,240.03","16,502,238.64",906.4825,906.4825,888.3529,Wekeza Maisha Fund
20/06/2024,1718954040,3,"18,835,390,628.03","28,352,345.08",664.3327,664.3327,657.6894,Watoto Fund
20/06/2024,1718954040,4,"26,482,453,382.88","150,067,478.19",176.4703,176.4703,172.9409,Jikimu Fund
20/06/2024,1718954040,5,"1,096,978,476,639.63","2,690,803,657.28",407.6769,407.6769,407.6769,Liquid Fund
20/06/2024,1718954040,6,"658,687,798,051.48","5,642,546,813.03",116.7359,116.7359,116.7359,Bond Fund
19/06/2024,1718871540,1,"357,948,910,054.81","346,239,279.55","1,033.82","1,033.82","1,023.48",Umoja Fund
19/06/2024,1718871540,2,"14,877,929,102.07","16,420,994.18",906.031,906.031,887.9103,Wekeza Maisha Fund
19/06/2024,1718871540,3,"18,761,397,040.63","28,252,351.85",664.065,664.065,657.4243,Watoto Fund
19/06/2024,1718871540,4,"26,453,446,909.27","149,992,892.36",176.3647,176.3647,172.8374,Jikimu Fund
19/06/2024,1718871540,5,"1,098,294,239,282.40","2,694,772,860.11",407.5647,407.5647,407.5647,Liquid Fund
19/06/2024,1718871540,6,"657,365,354,523.47","5,634,256,712.35",116.673,116.673,116.673,Bond Fund
18/06/2024,1718787060,1,"357,842,364,467.75","346,177,954.17","1,033.69","1,033.69","1,023.36",Umoja Fund
18/06/2024,1718787060,2,"14,859,900,700.82","16,404,907.99",905.8204,905.8204,887.704,Wekeza Maisha Fund
18/06/2024,1718787060,3,"18,715,145,616.45","28,189,233.46",663.9111,663.9111,657.272,Watoto Fund
18/06/2024,1718787060,4,"26,414,681,346.48","149,798,828.69",176.3344,176.3344,172.8077,Jikimu Fund
18/06/2024,1718787060,5,"1,098,779,593,724.43","2,696,780,981.77",407.4412,407.4412,407.4412,Liquid Fund
18/06/2024,1718787060,6,"656,078,506,263.10","5,624,797,947.72",116.6404,116.6404,116.6404,Bond Fund
14/06/2024,1718697600,1,"357,489,893,461.87","346,214,933.18","1,032.57","1,032.57","1,022.24",Umoja Fund
14/06/2024,1718697600,2,"14,836,018,684.37","16,398,210.17",904.734,904.734,886.6393,Wekeza Maisha Fund
14/06/2024,1718697600,3,"18,681,507,038.51","28,170,009.94",663.1701,663.1701,656.5384,Watoto Fund
14/06/2024,1718697600,4,"26,369,820,463.22","149,694,318.59",176.1578,176.1578,172.6346,Jikimu Fund
14/06/2024,1718697600,5,"1,095,140,935,089.41","2,707,227,483.70",404.5249,404.5249,404.5249,Liquid Fund
14/06/2024,1718697600,6,"657,512,084,449.72","5,643,419,311.26",116.5095,116.5095,116.5095,Bond Fund
13/06/2024,1718356020,1,"357,431,799,635.88","346,191,143.40","1,032.47","1,032.47","1,022.14",Umoja Fund
13/06/2024,1718356020,2,"14,818,232,577.04","16,378,443.52",904.74,904.74,886.6452,Wekeza Maisha Fund
13/06/2024,1718356020,3,"18,641,386,742.63","28,112,418.09",663.1015,663.1015,656.4705,Watoto Fund
13/06/2024,1718356020,4,"25,904,486,856.93","149,592,017.70",173.1676,173.1676,169.7042,Jikimu Fund
13/06/2024,1718356020,5,"1,105,566,555,590.50","2,733,804,686.94",404.4058,404.4058,404.4058,Liquid Fund
13/06/2024,1718356020,6,"656,917,041,501.71","5,639,867,641.83",116.4774,116.4774,116.4774,Bond Fund
12/06/2024,1718264220,1,"357,398,361,724.82","346,202,186.47","1,032.34","1,032.34","1,022.02",Umoja Fund
12/06/2024,1718264220,2,"14,797,587,991.53","16,359,766.14",904.511,904.511,886.4208,Wekeza Maisha Fund
12/06/2024,1718264220,3,"18,623,369,942.95","28,092,342.94",662.934,662.934,656.3047,Watoto Fund
12/06/2024,1718264220,4,"25,896,386,652.19","149,577,330.52",173.1304,173.1304,169.6678,Jikimu Fund
12/06/2024,1718264220,5,"1,105,742,537,787.48","2,735,043,916.98",404.2869,404.2869,404.2869,Liquid Fund
12/06/2024,1718264220,6,"656,223,385,245.43","5,635,503,697.59",116.4445,116.4445,116.4445,Bond Fund
11/06/2024,1718181420,1,"357,272,641,687.88","346,132,287.67","1,032.19","1,032.19","1,021.86",Umoja Fund
11/06/2024,1718181420,2,"14,787,561,844.51","16,356,038.69",904.1041,904.1041,886.022,Wekeza Maisha Fund
11/06/2024,1718181420,3,"18,604,375,208.95","28,074,085.50",662.6886,662.6886,656.0617,Watoto Fund
11/06/2024,1718181420,4,"25,874,153,944.50","149,516,765.49",173.0519,173.0519,169.5908,Jikimu Fund
11/06/2024,1718181420,5,"1,106,685,747,790.87","2,738,170,632.18",404.1698,404.1698,404.1698,Liquid Fund
11/06/2024,1718181420,6,"655,268,432,735.34","5,628,858,364.44",116.4123,116.4123,116.4123,Bond Fund
10/06/2024,1718096220,1,"357,216,770,489.58","346,120,471.07","1,032.06","1,032.06","1,021.74",Umoja Fund
10/06/2024,1718096220,2,"14,776,619,059.98","16,347,743.54",903.8935,903.8935,885.8156,Wekeza Maisha Fund
10/06/2024,1718096220,3,"18,613,313,461.23","28,094,292.94",662.5301,662.5301,655.9048,Watoto Fund
10/06/2024,1718096220,4,"25,852,885,777.07","149,426,220.41",173.0144,173.0144,169.5541,Jikimu Fund
10/06/2024,1718096220,5,"1,103,548,510,145.83","2,731,198,467.39",404.0528,404.0528,404.0528,Liquid Fund
10/06/2024,1718096220,6,"653,719,523,090.51","5,617,110,267.23",116.38,116.38,116.38,Bond Fund
07/06/2024,1718012460,1,"356,447,152,777.57","346,220,145.97","1,029.54","1,029.54","1,019.24",Umoja Fund
07/06/2024,1718012460,2,"14,752,559,480.28","16,347,752.12",902.4213,902.4213,884.3729,Wekeza Maisha Fund
07/06/2024,1718012460,3,"18,592,660,446.65","28,083,044.71",662.06,662.06,655.4394,Watoto Fund
07/06/2024,1718012460,4,"25,817,341,197.52","149,317,045.00",172.9028,172.9028,169.4448,Jikimu Fund
07/06/2024,1718012460,5,"1,102,356,042,364.03","2,730,615,270.84",403.7024,403.7024,403.7024,Liquid Fund
07/06/2024,1718012460,6,"652,658,779,996.25","5,612,674,212.53",116.283,116.283,116.283,Bond Fund
06/06/2024,1717744440,1,"356,932,200,101.64","346,155,753.24","1,031.13","1,031.13","1,020.82",Umoja Fund
06/06/2024,1717744440,2,"14,750,106,882.25","16,334,185.21",903.0207,903.0207,884.9603,Wekeza Maisha Fund
06/06/2024,1717744440,3,"18,529,410,542.90","27,972,026.79",662.4265,662.4265,655.8022,Watoto Fund
06/06/2024,1717744440,4,"25,797,461,528.45","149,118,131.93",173.0002,173.0002,169.5402,Jikimu Fund
06/06/2024,1717744440,5,"1,101,293,851,985.37","2,729,721,490.22",403.4455,403.4455,403.4455,Liquid Fund
06/06/2024,1717744440,6,"652,485,492,493.28","5,612,750,464.17",116.2506,116.2506,116.2506,Bond Fund
05/06/2024,1717662600,1,"356,838,406,950.51","346,123,927.77","1,030.96","1,030.96","1,020.65",Umoja Fund
05/06/2024,1717662600,2,"14,714,768,072.51","16,302,623.21",902.6012,902.6012,884.5492,Wekeza Maisha Fund
05/06/2024,1717662600,3,"18,498,397,772.92","27,947,727.58",661.8927,661.8927,655.2738,Watoto Fund
05/06/2024,1717662600,4,"25,745,584,450.82","149,052,257.35",172.7286,172.7286,169.274,Jikimu Fund
05/06/2024,1717662600,5,"1,103,711,283,764.02","2,736,511,839.34",403.3278,403.3278,403.3278,Liquid Fund
05/06/2024,1717662600,6,"653,708,341,865.07","5,624,839,620.44",116.2181,116.2181,116.2181,Bond Fund
04/06/2024,1717578600,1,"356,744,949,766.33","346,074,454.06","1,030.83","1,030.83","1,020.52",Umoja Fund
04/06/2024,1717578600,2,"14,695,193,119.16","16,284,752.60",902.3897,902.3897,884.3419,Wekeza Maisha Fund
04/06/2024,1717578600,3,"18,461,698,443.06","27,898,897.97",661.7358,661.7358,655.1184,Watoto Fund
04/06/2024,1717578600,4,"25,730,677,470.96","148,997,988.04",172.6914,172.6914,169.2376,Jikimu Fund
04/06/2024,1717578600,5,"1,105,039,546,489.31","2,740,603,877.71",403.2102,403.2102,403.2102,Liquid Fund
04/06/2024,1717578600,6,"648,264,703,288.71","5,579,510,812.90",116.1867,116.1867,116.1867,Bond Fund
03/06/2024,1717489800,1,"356,487,124,500.90","346,075,149.89","1,030.09","1,030.09","1,019.79",Umoja Fund
03/06/2024,1717489800,2,"14,655,651,279.42","16,249,161.94",901.9327,901.9327,883.8941,Wekeza Maisha Fund
03/06/2024,1717489800,3,"18,410,357,964.42","27,832,815.90",661.4623,661.4623,654.8477,Watoto Fund
03/06/2024,1717489800,4,"25,725,885,326.12","149,066,677.68",172.5797,172.5797,169.1281,Jikimu Fund
03/06/2024,1717489800,5,"1,104,576,543,945.37","2,740,259,544.80",403.0919,403.0919,403.0919,Liquid Fund
03/06/2024,1717489800,6,"645,273,896,041.93","5,555,325,411.33",116.1541,116.1541,116.1541,Bond Fund
31/05/2024,1717405920,1,"356,282,482,517.19","345,999,862.32","1,029.72","1,029.72","1,019.42",Umoja Fund
31/05/2024,1717405920,2,"14,614,139,655.81","16,214,455.46",901.3031,901.3031,883.2771,Wekeza Maisha Fund
31/05/2024,1717405920,3,"18,369,658,941.34","27,791,242.42",660.9873,660.9873,654.3775,Watoto Fund
31/05/2024,1717405920,4,"25,690,167,028.00","148,955,695.32",172.4685,172.4685,169.0191,Jikimu Fund
31/05/2024,1717405920,5,"1,105,476,370,168.10","2,744,884,710.02",402.7405,402.7405,402.7405,Liquid Fund
31/05/2024,1717405920,6,"651,501,277,763.88","5,565,711,790.98",117.0562,117.0562,117.0562,Bond Fund
30/05/2024,1717138920,1,"356,507,591,528.97","345,913,534.32","1,030.63","1,030.63","1,020.32",Umoja Fund
30/05/2024,1717138920,2,"14,597,609,718.03","16,196,965.42",901.2558,901.2558,883.2307,Wekeza Maisha Fund
30/05/2024,1717138920,3,"18,366,494,875.23","27,779,370.93",661.1559,661.1559,654.5443,Watoto Fund
30/05/2024,1717138920,4,"25,700,264,301.74","148,887,126.86",172.6158,172.6158,169.1634,Jikimu Fund
30/05/2024,1717138920,5,"1,106,571,753,843.54","2,748,404,136.35",402.6234,402.6234,402.6234,Liquid Fund
30/05/2024,1717138920,6,"651,072,139,410.15","5,563,593,306.90",117.0237,117.0237,117.0237,Bond Fund
29/05/2024,1717058400,1,"356,572,480,074.80","345,880,939.94","1,030.91","1,030.91","1,020.60",Umoja Fund
29/05/2024,1717058400,2,"14,583,263,998.09","16,184,504.30",901.0634,901.0634,883.0421,Wekeza Maisha Fund
29/05/2024,1717058400,3,"18,343,390,235.44","27,744,942.03",661.1436,661.1436,654.5321,Watoto Fund
29/05/2024,1717058400,4,"25,719,006,723.06","148,935,667.08",172.6853,172.6853,169.2316,Jikimu Fund
29/05/2024,1717058400,5,"1,104,226,038,038.91","2,743,374,115.88",402.5065,402.5065,402.5065,Liquid Fund
29/05/2024,1717058400,6,"650,065,851,177.91","5,556,542,909.70",116.9911,116.9911,116.9911,Bond Fund
28/05/2024,1716969120,1,"356,256,687,898.39","345,851,910.53","1,030.08","1,030.08","1,019.78",Umoja Fund
28/05/2024,1716969120,2,"14,568,462,445.95","16,176,322.13",900.6041,900.6041,882.592,Wekeza Maisha Fund
28/05/2024,1716969120,3,"18,311,512,598.15","27,708,225.23",660.8692,660.8692,654.2605,Watoto Fund
28/05/2024,1716969120,4,"25,706,404,132.78","148,958,992.36",172.5737,172.5737,169.1222,Jikimu Fund
28/05/2024,1716969120,5,"1,104,746,040,275.27","2,745,463,535.40",402.3896,402.3896,402.3896,Liquid Fund
28/05/2024,1716969120,6,"649,415,731,832.90","5,557,441,382.29",116.8552,116.8552,116.8552,Bond Fund
27/05/2024,1716894180,1,"355,949,747,998.49","345,593,659.01","1,029.97","1,029.97","1,019.67",Umoja Fund
27/05/2024,1716894180,2,"14,533,631,944.51","16,141,442.66",900.3924,900.3924,882.3845,Wekeza Maisha Fund
27/05/2024,1716894180,3,"18,218,629,127.45","27,574,248.49",660.7117,660.7117,654.1046,Watoto Fund
27/05/2024,1716894180,4,"25,672,088,402.03","148,792,114.89",172.5366,172.5366,169.0859,Jikimu Fund
27/05/2024,1716894180,5,"1,103,008,483,683.34","2,741,939,900.72",402.273,402.273,402.273,Liquid Fund
27/05/2024,1716894180,6,"647,963,621,755.30","5,546,039,602.74",116.8336,116.8336,116.8336,Bond Fund
24/05/2024,1716798900,1,"355,609,555,984.27","345,703,209.27","1,028.66","1,028.66","1,028.66",Umoja Fund
24/05/2024,1716798900,2,"14,497,394,930.96","16,124,985.17",899.0641,899.0641,881.0828,Wekeza Maisha Fund
24/05/2024,1716798900,3,"18,147,673,506.30","27,529,810.84",659.2008,659.2008,652.6088,Watoto Fund
24/05/2024,1716798900,4,"25,573,084,223.73","148,348,098.85",172.3857,172.3857,168.9379,Jikimu Fund
24/05/2024,1716798900,5,"1,099,913,545,892.11","2,736,625,082.59",401.9234,401.9234,401.9234,Liquid Fund
24/05/2024,1716798900,6,"646,870,513,726.96","5,541,354,421.88",116.7351,116.7351,116.7351,Bond Fund
23/05/2024,1716536880,1,"355,349,694,764.90","345,699,793.12","1,027.91","1,027.91","1,017.64",Umoja Fund
23/05/2024,1716536880,2,"14,476,415,152.34","16,109,897.32",898.6038,880.6317,880.6317,Wekeza Maisha Fund
23/05/2024,1716536880,3,"18,068,965,990.21","27,421,889.67",658.9249,658.9249,652.3357,Watoto Fund
23/05/2024,1716536880,4,"25,548,127,017.47","148,300,180.91",172.2731,172.2731,168.8276,Jikimu Fund
23/05/2024,1716536880,5,"1,098,758,442,380.77","2,734,544,672.89",401.8067,401.8067,401.8067,Liquid Fund
23/05/2024,1716536880,6,"645,738,649,099.18","5,533,215,346.39",116.7022,116.7022,116.7022,Bond Fund
22/05/2024,1716447060,1,"353,955,350,470.63","345,660,257.97","1,024.00","1,024.00","1,013.76",Umoja Fund
22/05/2024,1716447060,2,"14,441,595,553.20","16,095,369.04",897.2516,897.2516,879.3066,Wekeza Maisha Fund
22/05/2024,1716447060,3,"18,004,757,972.05","27,392,946.02",657.2772,657.2772,650.7044,Watoto Fund
22/05/2024,1716447060,4,"25,481,006,993.81","148,356,694.48",171.755,171.755,168.3199,Jikimu Fund
